,total_no,year,huc,total_no_filled
355,103410780.0,2015,20503061202,103410780.0
356,94568782.0,2016,20503061202,94568782.0
357,93146904.0,2017,20503061202,93146904.0
358,98381464.0,2018,20503061202,98381464.0
359,82054132.0,2019,20503061202,82054132.0
360,0.0,2005,20801060402,77244173.0
361,0.0,2008,20801060402,77244173.0
362,117239368.0,2010,20801060402,117239368.0
363,97532850.0,2011,20801060402,97532850.0
364,86316484.0,2012,20801060402,86316484.0
365,88612922.0,2013,20801060402,88612922.0
366,114364310.0,2014,20801060402,114364310.0
367,117783760.0,2015,20801060402,117783760.0
368,103865490.0,2016,20801060402,103865490.0
369,81889266.0,2017,20801060402,81889266.0
370,63810338.0,2018,20801060402,63810338.0
371,55515288.0,2019,20801060402,55515288.0
372,0.0,2005,20700030405,469087000.6666667
373,0.0,2008,20700030405,469087000.6666667
374,681871956.0,2010,20700030405,681871956.0
375,694990328.0,2011,20700030405,694990328.0
376,689799318.0,2012,20700030405,689799318.0
377,722476272.0,2013,20700030405,722476272.0
378,753430360.0,2014,20700030405,753430360.0
379,600144516.0,2015,20700030405,600144516.0
380,518381108.0,2016,20700030405,518381108.0
381,356005424.0,2017,20700030405,356005424.0
382,340682710.0,2018,20700030405,340682710.0
383,271262016.0,2019,20700030405,271262016.0
384,0.0,2005,20600031101,181707800.0
385,0.0,2008,20600031101,181707800.0
386,359291878.0,2010,20600031101,359291878.0
387,329172714.0,2011,20600031101,329172714.0
388,248043034.0,2012,20600031101,248043034.0
389,263384390.0,2013,20600031101,263384390.0
390,243655232.0,2014,20600031101,243655232.0
391,197269922.0,2015,20600031101,197269922.0
392,159257430.0,2016,20600031101,159257430.0
393,142591840.0,2017,20600031101,142591840.0
394,133345078.0,2018,20600031101,133345078.0
395,104482082.0,2019,20600031101,104482082.0
396,0.0,2005,20501050607,279024554.3333333
397,0.0,2008,20501050607,279024554.3333333
398,554093286.0,2010,20501050607,554093286.0
399,522027970.0,2011,20501050607,522027970.0
400,394594270.0,2012,20501050607,394594270.0
401,393664080.0,2013,20501050607,393664080.0
402,376554302.0,2014,20501050607,376554302.0
403,304616980.0,2015,20501050607,304616980.0
404,248344944.0,2016,20501050607,248344944.0
405,189050572.0,2017,20501050607,189050572.0
406,194098882.0,2018,20501050607,194098882.0
407,171249366.0,2019,20501050607,171249366.0
408,0.0,2005,20600030105,156375028.16666666
409,0.0,2008,20600030105,156375028.16666666
410,364872658.0,2010,20600030105,364872658.0
411,289080462.0,2011,20600030105,289080462.0
412,212063398.0,2012,20600030105,212063398.0
413,222593970.0,2013,20600030105,222593970.0
414,201978786.0,2014,20600030105,201978786.0
415,158627128.0,2015,20600030105,158627128.0
416,126681632.0,2016,20600030105,126681632.0
417,108808708.0,2017,20600030105,108808708.0
418,106187566.0,2018,20600030105,106187566.0
419,85606030.0,2019,20600030105,85606030.0
420,0.0,2005,20802040501,139005392.0
421,0.0,2008,20802040501,139005392.0
422,332710000.0,2010,20802040501,332710000.0
423,257030228.0,2011,20802040501,257030228.0
424,174685706.0,2012,20802040501,174685706.0
425,182545914.0,2013,20802040501,182545914.0
426,167790516.0,2014,20802040501,167790516.0
427,133579918.0,2015,20802040501,133579918.0
428,118838672.0,2016,20802040501,118838672.0
429,105961040.0,2017,20802040501,105961040.0
430,109468594.0,2018,20802040501,109468594.0
431,85454116.0,2019,20802040501,85454116.0
432,0.0,2005,20802060201,192885974.66666666
433,0.0,2008,20802060201,192885974.66666666
434,401124272.0,2010,20802060201,401124272.0
435,378383590.0,2011,20802060201,378383590.0
436,280433860.0,2012,20802060201,280433860.0
437,278219296.0,2013,20802060201,278219296.0
438,252644028.0,2014,20802060201,252644028.0
439,209933184.0,2015,20802060201,209933184.0
440,150364158.0,2016,20802060201,150364158.0
441,121439394.0,2017,20802060201,121439394.0
442,137419614.0,2018,20802060201,137419614.0
443,104670300.0,2019,20802060201,104670300.0
444,0.0,2005,20600020204,490909713.3333333
445,0.0,2008,20600020204,490909713.3333333
446,790040476.0,2010,20600020204,790040476.0
447,805479546.0,2011,20600020204,805479546.0
448,734949282.0,2012,20600020204,734949282.0
449,736930076.0,2013,20600020204,736930076.0
450,738630902.0,2014,20600020204,738630902.0
451,588844672.0,2015,20600020204,588844672.0
452,506620350.0,2016,20600020204,506620350.0
453,363976464.0,2017,20600020204,363976464.0
454,352844924.0,2018,20600020204,352844924.0
455,272599868.0,2019,20600020204,272599868.0
456,0.0,2005,20502010709,352131156.6666667
457,0.0,2008,20502010709,352131156.6666667
458,557008898.0,2010,20502010709,557008898.0
459,569030898.0,2011,20502010709,569030898.0
460,500188038.0,2012,20502010709,500188038.0
461,519468242.0,2013,20502010709,519468242.0
462,556189172.0,2014,20502010709,556189172.0
463,452407868.0,2015,20502010709,452407868.0
464,393834346.0,2016,20502010709,393834346.0
465,265834126.0,2017,20502010709,265834126.0
466,229247628.0,2018,20502010709,229247628.0
467,182364664.0,2019,20502010709,182364664.0
468,0.0,2005,20502061103,410575740.8333333
469,0.0,2008,20502061103,410575740.8333333
470,635627094.0,2010,20502061103,635627094.0
471,644566292.0,2011,20502061103,644566292.0
472,607598694.0,2012,20502061103,607598694.0
473,632754026.0,2013,20502061103,632754026.0
474,663216912.0,2014,20502061103,663216912.0
475,503335656.0,2015,20502061103,503335656.0
476,437783452.0,2016,20502061103,437783452.0
477,296742390.0,2017,20502061103,296742390.0
478,279095120.0,2018,20502061103,279095120.0
479,226189254.0,2019,20502061103,226189254.0
480,0.0,2005,20700110203,65772963.666666664
481,0.0,2008,20700110203,65772963.666666664
482,71924354.0,2010,20700110203,71924354.0
483,121336204.0,2011,20700110203,121336204.0
484,95849658.0,2012,20700110203,95849658.0
485,94312146.0,2013,20700110203,94312146.0
486,97648296.0,2014,20700110203,97648296.0
487,88091410.0,2015,20700110203,88091410.0
488,77993796.0,2016,20700110203,77993796.0
489,47570750.0,2017,20700110203,47570750.0
490,52988046.0,2018,20700110203,52988046.0
491,41560904.0,2019,20700110203,41560904.0
492,0.0,2005,20503030802,459391041.6666667
493,0.0,2008,20503030802,459391041.6666667
494,725727454.0,2010,20503030802,725727454.0
495,737857890.0,2011,20503030802,737857890.0
496,669519234.0,2012,20503030802,669519234.0
497,676873210.0,2013,20503030802,676873210.0
498,699733544.0,2014,20503030802,699733544.0
499,565774672.0,2015,20503030802,565774672.0
500,509172626.0,2016,20503030802,509172626.0
501,343102336.0,2017,20503030802,343102336.0
502,335564146.0,2018,20503030802,335564146.0
503,249367388.0,2019,20503030802,249367388.0
504,0.0,2005,20503050802,109422188.5
505,0.0,2008,20503050802,109422188.5
506,168844960.0,2010,20503050802,168844960.0
507,160462300.0,2011,20503050802,160462300.0
508,136156480.0,2012,20503050802,136156480.0
509,141872890.0,2013,20503050802,141872890.0
510,150551984.0,2014,20503050802,150551984.0
511,148850640.0,2015,20503050802,148850640.0
512,143885974.0,2016,20503050802,143885974.0
513,99863124.0,2017,20503050802,99863124.0
514,91291630.0,2018,20503050802,91291630.0
515,71286280.0,2019,20503050802,71286280.0
